"filename", "language", "JSON", "Markdown", "JavaScript", "JavaScript JSX", "HTML", "XML", "PostCSS", "comment", "blank", "total"
"c:\Users\lapmall\Desktop\lit_connect\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\lapmall\Desktop\lit_connect\package-lock.json", "JSON", 19387, 0, 0, 0, 0, 0, 0, 0, 1, 19388
"c:\Users\lapmall\Desktop\lit_connect\package.json", "JSON", 69, 0, 0, 0, 0, 0, 0, 0, 1, 70
"c:\Users\lapmall\Desktop\lit_connect\public\index.html", "HTML", 0, 0, 0, 0, 18, 0, 0, 10, 3, 31
"c:\Users\lapmall\Desktop\lit_connect\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\lapmall\Desktop\lit_connect\src\App.css", "PostCSS", 0, 0, 0, 0, 0, 0, 33, 0, 6, 39
"c:\Users\lapmall\Desktop\lit_connect\src\App.js", "JavaScript", 0, 0, 97, 0, 0, 0, 0, 3, 5, 105
"c:\Users\lapmall\Desktop\lit_connect\src\App.test.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\lapmall\Desktop\lit_connect\src\assets\BestRoute.html", "HTML", 0, 0, 0, 0, 127, 0, 0, 1, 18, 146
"c:\Users\lapmall\Desktop\lit_connect\src\assets\Demo.html", "HTML", 0, 0, 0, 0, 197, 0, 0, 5, 16, 218
"c:\Users\lapmall\Desktop\lit_connect\src\assets\demo1.html", "HTML", 0, 0, 0, 0, 143, 0, 0, 0, 15, 158
"c:\Users\lapmall\Desktop\lit_connect\src\components\Navbar.js", "JavaScript", 0, 0, 82, 0, 0, 0, 0, 0, 8, 90
"c:\Users\lapmall\Desktop\lit_connect\src\components\Sidebar.js", "JavaScript", 0, 0, 149, 0, 0, 0, 0, 11, 11, 171
"c:\Users\lapmall\Desktop\lit_connect\src\components\activity\A.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\lapmall\Desktop\lit_connect\src\components\activity\AttendanceList.js", "JavaScript", 0, 0, 377, 0, 0, 0, 0, 24, 36, 437
"c:\Users\lapmall\Desktop\lit_connect\src\components\activity\LocationMap.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 4, 24
"c:\Users\lapmall\Desktop\lit_connect\src\components\activity\RegulariseList.js", "JavaScript", 0, 0, 153, 0, 0, 0, 0, 0, 14, 167
"c:\Users\lapmall\Desktop\lit_connect\src\components\admission\AdmissionList.js", "JavaScript", 0, 0, 122, 0, 0, 0, 0, 1, 12, 135
"c:\Users\lapmall\Desktop\lit_connect\src\components\admission\FinalizeAdmissionView.js", "JavaScript", 0, 0, 214, 0, 0, 0, 0, 1, 27, 242
"c:\Users\lapmall\Desktop\lit_connect\src\components\admission\TempAdmissionView.js", "JavaScript", 0, 0, 364, 0, 0, 0, 0, 3, 30, 397
"c:\Users\lapmall\Desktop\lit_connect\src\components\auth\AuthContext.js", "JavaScript", 0, 0, 33, 0, 0, 0, 0, 1, 8, 42
"c:\Users\lapmall\Desktop\lit_connect\src\components\auth\PrivateRoute.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 1, 6, 21
"c:\Users\lapmall\Desktop\lit_connect\src\components\certificate\C1.js", "JavaScript", 0, 0, 178, 0, 0, 0, 0, 0, 27, 205
"c:\Users\lapmall\Desktop\lit_connect\src\components\certificate\C2.js", "JavaScript", 0, 0, 89, 0, 0, 0, 0, 0, 9, 98
"c:\Users\lapmall\Desktop\lit_connect\src\components\certificate\CertificateListView.js", "JavaScript", 0, 0, 64, 0, 0, 0, 0, 0, 5, 69
"c:\Users\lapmall\Desktop\lit_connect\src\components\certificate\CertificateSelector.jsx", "JavaScript JSX", 0, 0, 0, 70, 0, 0, 0, 0, 11, 81
"c:\Users\lapmall\Desktop\lit_connect\src\components\certificate\assets\i.html", "HTML", 0, 0, 0, 0, 730, 0, 0, 23, 39, 792
"c:\Users\lapmall\Desktop\lit_connect\src\components\checkpoints\AddCheckpointForm.js", "JavaScript", 0, 0, 857, 0, 0, 0, 0, 3, 70, 930
"c:\Users\lapmall\Desktop\lit_connect\src\components\checkpoints\CheckpointList.js", "JavaScript", 0, 0, 87, 0, 0, 0, 0, 1, 7, 95
"c:\Users\lapmall\Desktop\lit_connect\src\components\dashboard\DashboardData.js", "JavaScript", 0, 0, 163, 0, 0, 0, 0, 3, 14, 180
"c:\Users\lapmall\Desktop\lit_connect\src\components\dealers\AddDealers.js", "JavaScript", 0, 0, 82, 0, 0, 0, 0, 1, 8, 91
"c:\Users\lapmall\Desktop\lit_connect\src\components\dealers\AttendanceReport.js", "JavaScript", 0, 0, 119, 0, 0, 0, 0, 71, 26, 216
"c:\Users\lapmall\Desktop\lit_connect\src\components\dealers\DealerList.js", "JavaScript", 0, 0, 150, 0, 0, 0, 0, 25, 23, 198
"c:\Users\lapmall\Desktop\lit_connect\src\components\dealers\LiveTrack.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 339, 25, 364
"c:\Users\lapmall\Desktop\lit_connect\src\components\dealers\MapPage.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 179, 15, 194
"c:\Users\lapmall\Desktop\lit_connect\src\components\dealers\PlanVisit.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 305, 30, 335
"c:\Users\lapmall\Desktop\lit_connect\src\components\dealers\VisitList.js", "JavaScript", 0, 0, 110, 0, 0, 0, 0, 11, 19, 140
"c:\Users\lapmall\Desktop\lit_connect\src\components\dealers\VisitMap.js", "JavaScript", 0, 0, 124, 0, 0, 0, 0, 0, 13, 137
"c:\Users\lapmall\Desktop\lit_connect\src\components\dealers\VisitTable.js", "JavaScript", 0, 0, 273, 0, 0, 0, 0, 35, 28, 336
"c:\Users\lapmall\Desktop\lit_connect\src\components\docket\DocketList.js", "JavaScript", 0, 0, 77, 0, 0, 0, 0, 2, 12, 91
"c:\Users\lapmall\Desktop\lit_connect\src\components\employee\EmployeeData.js", "JavaScript", 0, 0, 363, 0, 0, 0, 0, 2, 33, 398
"c:\Users\lapmall\Desktop\lit_connect\src\components\employee\EmployeeList.js", "JavaScript", 0, 0, 664, 0, 0, 0, 0, 2, 34, 700
"c:\Users\lapmall\Desktop\lit_connect\src\components\employee\EmployeeSalarySlip.js", "JavaScript", 0, 0, 254, 0, 0, 0, 0, 23, 26, 303
"c:\Users\lapmall\Desktop\lit_connect\src\components\employee\SalaryList.js", "JavaScript", 0, 0, 120, 0, 0, 0, 0, 57, 15, 192
"c:\Users\lapmall\Desktop\lit_connect\src\components\employee\SalarySlip.js", "JavaScript", 0, 0, 285, 0, 0, 0, 0, 1, 16, 302
"c:\Users\lapmall\Desktop\lit_connect\src\components\employee\UserProfile.js", "JavaScript", 0, 0, 187, 0, 0, 0, 0, 1, 11, 199
"c:\Users\lapmall\Desktop\lit_connect\src\components\expense\ApplyExpense.js", "JavaScript", 0, 0, 117, 0, 0, 0, 0, 0, 10, 127
"c:\Users\lapmall\Desktop\lit_connect\src\components\expense\ViewExpense.js", "JavaScript", 0, 0, 250, 0, 0, 0, 0, 82, 56, 388
"c:\Users\lapmall\Desktop\lit_connect\src\components\fees\AddFeeStructureDialog.js", "JavaScript", 0, 0, 90, 0, 0, 0, 0, 0, 11, 101
"c:\Users\lapmall\Desktop\lit_connect\src\components\fees\FeesPaymentList.js", "JavaScript", 0, 0, 782, 0, 0, 0, 0, 41, 76, 899
"c:\Users\lapmall\Desktop\lit_connect\src\components\fees\FeesSummary.js", "JavaScript", 0, 0, 549, 0, 0, 0, 0, 17, 63, 629
"c:\Users\lapmall\Desktop\lit_connect\src\components\fees\FeesTransaction.js", "JavaScript", 0, 0, 312, 0, 0, 0, 0, 8, 27, 347
"c:\Users\lapmall\Desktop\lit_connect\src\components\fees\OtherFeesTransaction.js", "JavaScript", 0, 0, 535, 0, 0, 0, 0, 3, 46, 584
"c:\Users\lapmall\Desktop\lit_connect\src\components\fees\PaymentDialog.js", "JavaScript", 0, 0, 616, 0, 0, 0, 0, 18, 66, 700
"c:\Users\lapmall\Desktop\lit_connect\src\components\fees\StructureList.js", "JavaScript", 0, 0, 130, 0, 0, 0, 0, 4, 7, 141
"c:\Users\lapmall\Desktop\lit_connect\src\components\fees\StudentFeesTransaction.js", "JavaScript", 0, 0, 585, 0, 0, 0, 0, 9, 44, 638
"c:\Users\lapmall\Desktop\lit_connect\src\components\fees\TransactionDialog.js", "JavaScript", 0, 0, 383, 0, 0, 0, 0, 7, 41, 431
"c:\Users\lapmall\Desktop\lit_connect\src\components\form\AdmissionFormLogic.js", "JavaScript", 0, 0, 347, 0, 0, 0, 0, 2, 43, 392
"c:\Users\lapmall\Desktop\lit_connect\src\components\form\AdmissionFormRenderer.js", "JavaScript", 0, 0, 216, 0, 0, 0, 0, 1, 11, 228
"c:\Users\lapmall\Desktop\lit_connect\src\components\holiday\AddHoliday.js", "JavaScript", 0, 0, 113, 0, 0, 0, 0, 0, 11, 124
"c:\Users\lapmall\Desktop\lit_connect\src\components\holiday\EditHoliday.js", "JavaScript", 0, 0, 64, 0, 0, 0, 0, 0, 6, 70
"c:\Users\lapmall\Desktop\lit_connect\src\components\holiday\ViewHoliday.js", "JavaScript", 0, 0, 106, 0, 0, 0, 0, 1, 13, 120
"c:\Users\lapmall\Desktop\lit_connect\src\components\leave\ApplyLeave.js", "JavaScript", 0, 0, 136, 0, 0, 0, 0, 0, 13, 149
"c:\Users\lapmall\Desktop\lit_connect\src\components\leave\ViewLeave.js", "JavaScript", 0, 0, 135, 0, 0, 0, 0, 0, 13, 148
"c:\Users\lapmall\Desktop\lit_connect\src\components\library\DashboardLib.js", "JavaScript", 0, 0, 76, 0, 0, 0, 0, 1, 11, 88
"c:\Users\lapmall\Desktop\lit_connect\src\components\library\IssueBookDialog.js", "JavaScript", 0, 0, 168, 0, 0, 0, 0, 2, 14, 184
"c:\Users\lapmall\Desktop\lit_connect\src\components\library\LibraryList.js", "JavaScript", 0, 0, 130, 0, 0, 0, 0, 0, 14, 144
"c:\Users\lapmall\Desktop\lit_connect\src\components\library\ListBook.js", "JavaScript", 0, 0, 196, 0, 0, 0, 0, 0, 18, 214
"c:\Users\lapmall\Desktop\lit_connect\src\components\library\StudentBookView.js", "JavaScript", 0, 0, 330, 0, 0, 0, 0, 1, 35, 366
"c:\Users\lapmall\Desktop\lit_connect\src\components\menus\AddMenuForm.js", "JavaScript", 0, 0, 386, 0, 0, 0, 0, 4, 31, 421
"c:\Users\lapmall\Desktop\lit_connect\src\components\menus\MenuList.js", "JavaScript", 0, 0, 79, 0, 0, 0, 0, 1, 7, 87
"c:\Users\lapmall\Desktop\lit_connect\src\components\news\AddCollegeNews.js", "JavaScript", 0, 0, 104, 0, 0, 0, 0, 0, 9, 113
"c:\Users\lapmall\Desktop\lit_connect\src\components\news\CollegeNewsCard.js", "JavaScript", 0, 0, 29, 0, 0, 0, 0, 0, 3, 32
"c:\Users\lapmall\Desktop\lit_connect\src\components\news\ViewNews.js", "JavaScript", 0, 0, 66, 0, 0, 0, 0, 0, 9, 75
"c:\Users\lapmall\Desktop\lit_connect\src\components\notices\AddNotices.js", "JavaScript", 0, 0, 93, 0, 0, 0, 0, 0, 8, 101
"c:\Users\lapmall\Desktop\lit_connect\src\components\notices\ViewNotices.js", "JavaScript", 0, 0, 96, 0, 0, 0, 0, 0, 11, 107
"c:\Users\lapmall\Desktop\lit_connect\src\components\notification\AddNotification.js", "JavaScript", 0, 0, 108, 0, 0, 0, 0, 3, 8, 119
"c:\Users\lapmall\Desktop\lit_connect\src\components\notification\ViewNotification.js", "JavaScript", 0, 0, 67, 0, 0, 0, 0, 0, 7, 74
"c:\Users\lapmall\Desktop\lit_connect\src\components\policy\AddPolicy.js", "JavaScript", 0, 0, 95, 0, 0, 0, 0, 0, 9, 104
"c:\Users\lapmall\Desktop\lit_connect\src\components\policy\PolicyList.js", "JavaScript", 0, 0, 129, 0, 0, 0, 0, 2, 22, 153
"c:\Users\lapmall\Desktop\lit_connect\src\components\report\AssignmentReport.js", "JavaScript", 0, 0, 158, 0, 0, 0, 0, 0, 17, 175
"c:\Users\lapmall\Desktop\lit_connect\src\components\report\CBT.js", "JavaScript", 0, 0, 229, 0, 0, 0, 0, 0, 20, 249
"c:\Users\lapmall\Desktop\lit_connect\src\components\report\ClassTest.js", "JavaScript", 0, 0, 230, 0, 0, 0, 0, 0, 20, 250
"c:\Users\lapmall\Desktop\lit_connect\src\components\report\InternalExam.js", "JavaScript", 0, 0, 209, 0, 0, 0, 0, 0, 19, 228
"c:\Users\lapmall\Desktop\lit_connect\src\components\report\ListAssignmentReport.js", "JavaScript", 0, 0, 148, 0, 0, 0, 0, 0, 9, 157
"c:\Users\lapmall\Desktop\lit_connect\src\components\report\ListCBTExam.js", "JavaScript", 0, 0, 242, 0, 0, 0, 0, 2, 14, 258
"c:\Users\lapmall\Desktop\lit_connect\src\components\report\ListClassTest.js", "JavaScript", 0, 0, 242, 0, 0, 0, 0, 2, 14, 258
"c:\Users\lapmall\Desktop\lit_connect\src\components\report\ListInternalExam.js", "JavaScript", 0, 0, 221, 0, 0, 0, 0, 3, 14, 238
"c:\Users\lapmall\Desktop\lit_connect\src\components\students\StudentDetail.js", "JavaScript", 0, 0, 178, 0, 0, 0, 0, 0, 14, 192
"c:\Users\lapmall\Desktop\lit_connect\src\components\students\StudentsList.js", "JavaScript", 0, 0, 164, 0, 0, 0, 0, 0, 18, 182
"c:\Users\lapmall\Desktop\lit_connect\src\components\students\VariableFeeManager.js", "JavaScript", 0, 0, 284, 0, 0, 0, 0, 0, 23, 307
"c:\Users\lapmall\Desktop\lit_connect\src\components\ticket\ViewTickets.js", "JavaScript", 0, 0, 182, 0, 0, 0, 0, 3, 22, 207
"c:\Users\lapmall\Desktop\lit_connect\src\components\timetable\TimeTableView.js", "JavaScript", 0, 0, 662, 0, 0, 0, 0, 3, 41, 706
"c:\Users\lapmall\Desktop\lit_connect\src\components\travel\ApplyTravel.js", "JavaScript", 0, 0, 114, 0, 0, 0, 0, 0, 10, 124
"c:\Users\lapmall\Desktop\lit_connect\src\components\travel\ViewTravel.js", "JavaScript", 0, 0, 199, 0, 0, 0, 0, 3, 21, 223
"c:\Users\lapmall\Desktop\lit_connect\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 12, 0, 2, 14
"c:\Users\lapmall\Desktop\lit_connect\src\index.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 3, 3, 18
"c:\Users\lapmall\Desktop\lit_connect\src\logo.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\lapmall\Desktop\lit_connect\src\pages\Admission.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 4, 28
"c:\Users\lapmall\Desktop\lit_connect\src\pages\AdmissionFinal.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 4, 28
"c:\Users\lapmall\Desktop\lit_connect\src\pages\Attendance.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 1, 6, 31
"c:\Users\lapmall\Desktop\lit_connect\src\pages\Certificate.js", "JavaScript", 0, 0, 68, 0, 0, 0, 0, 0, 8, 76
"c:\Users\lapmall\Desktop\lit_connect\src\pages\Checkpoints.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 0, 4, 31
"c:\Users\lapmall\Desktop\lit_connect\src\pages\Dashboard.js", "JavaScript", 0, 0, 26, 0, 0, 0, 0, 0, 7, 33
"c:\Users\lapmall\Desktop\lit_connect\src\pages\Dealer.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 1, 7, 35
"c:\Users\lapmall\Desktop\lit_connect\src\pages\Docket.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 5, 29
"c:\Users\lapmall\Desktop\lit_connect\src\pages\Employee.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 4, 28
"c:\Users\lapmall\Desktop\lit_connect\src\pages\EmployeeProfile.js", "JavaScript", 0, 0, 26, 0, 0, 0, 0, 0, 4, 30
"c:\Users\lapmall\Desktop\lit_connect\src\pages\Expense.js", "JavaScript", 0, 0, 42, 0, 0, 0, 0, 2, 12, 56
"c:\Users\lapmall\Desktop\lit_connect\src\pages\FeesPayment.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 4, 28
"c:\Users\lapmall\Desktop\lit_connect\src\pages\FeesStructure.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 4, 28
"c:\Users\lapmall\Desktop\lit_connect\src\pages\FeesSummaryView.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 4, 28
"c:\Users\lapmall\Desktop\lit_connect\src\pages\Form.js", "JavaScript", 0, 0, 23, 0, 0, 0, 0, 0, 4, 27
"c:\Users\lapmall\Desktop\lit_connect\src\pages\Holiday.js", "JavaScript", 0, 0, 29, 0, 0, 0, 0, 0, 6, 35
"c:\Users\lapmall\Desktop\lit_connect\src\pages\Leave.js", "JavaScript", 0, 0, 35, 0, 0, 0, 0, 8, 7, 50
"c:\Users\lapmall\Desktop\lit_connect\src\pages\Library.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 4, 28
"c:\Users\lapmall\Desktop\lit_connect\src\pages\LibraryDash.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 4, 28
"c:\Users\lapmall\Desktop\lit_connect\src\pages\Login.js", "JavaScript", 0, 0, 359, 0, 0, 0, 0, 0, 19, 378
"c:\Users\lapmall\Desktop\lit_connect\src\pages\Maps.js", "JavaScript", 0, 0, 53, 0, 0, 0, 0, 0, 7, 60
"c:\Users\lapmall\Desktop\lit_connect\src\pages\Menus.js", "JavaScript", 0, 0, 29, 0, 0, 0, 0, 3, 10, 42
"c:\Users\lapmall\Desktop\lit_connect\src\pages\News.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 5, 29
"c:\Users\lapmall\Desktop\lit_connect\src\pages\Notices.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 5, 29
"c:\Users\lapmall\Desktop\lit_connect\src\pages\Notification.js", "JavaScript", 0, 0, 26, 0, 0, 0, 0, 0, 6, 32
"c:\Users\lapmall\Desktop\lit_connect\src\pages\OtherFees.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 5, 29
"c:\Users\lapmall\Desktop\lit_connect\src\pages\Policy.js", "JavaScript", 0, 0, 26, 0, 0, 0, 0, 0, 6, 32
"c:\Users\lapmall\Desktop\lit_connect\src\pages\Registration.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 7, 31
"c:\Users\lapmall\Desktop\lit_connect\src\pages\Regularise.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 5, 29
"c:\Users\lapmall\Desktop\lit_connect\src\pages\StuLibrary.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 4, 28
"c:\Users\lapmall\Desktop\lit_connect\src\pages\StudentFees.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 4, 28
"c:\Users\lapmall\Desktop\lit_connect\src\pages\StudentInfo.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 4, 28
"c:\Users\lapmall\Desktop\lit_connect\src\pages\StudentReport.js", "JavaScript", 0, 0, 83, 0, 0, 0, 0, 0, 8, 91
"c:\Users\lapmall\Desktop\lit_connect\src\pages\Students.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 4, 28
"c:\Users\lapmall\Desktop\lit_connect\src\pages\Ticket.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 0, 9, 36
"c:\Users\lapmall\Desktop\lit_connect\src\pages\TimeTable.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 5, 29
"c:\Users\lapmall\Desktop\lit_connect\src\pages\Transactions.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 4, 28
"c:\Users\lapmall\Desktop\lit_connect\src\pages\Travel.js", "JavaScript", 0, 0, 44, 0, 0, 0, 0, 2, 12, 58
"c:\Users\lapmall\Desktop\lit_connect\src\pages\User.js", "JavaScript", 0, 0, 30, 0, 0, 0, 0, 0, 5, 35
"c:\Users\lapmall\Desktop\lit_connect\src\pages\Variable.js", "JavaScript", 0, 0, 25, 0, 0, 0, 0, 0, 4, 29
"c:\Users\lapmall\Desktop\lit_connect\src\pages\ViewAdmission.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 4, 28
"c:\Users\lapmall\Desktop\lit_connect\src\pages\VisitReport.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 1, 7, 32
"c:\Users\lapmall\Desktop\lit_connect\src\reportWebVitals.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\lapmall\Desktop\lit_connect\src\setupTests.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 4, 1, 6
"c:\Users\lapmall\Desktop\lit_connect\src\styles\HRMSLayout.js", "JavaScript", 0, 0, 62, 0, 0, 0, 0, 0, 9, 71
"c:\Users\lapmall\Desktop\lit_connect\src\styles\theme.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 3, 15
"Total", "-", 19481, 1, 18614, 70, 1215, 1, 45, 1393, 2061, 42881